algorithm,access_pattern,cores,runtime[s]
sequential_two_lattice,collision,1,0.260061,0.283282,0.259632,0.267457,0.249447,0.268778,0.251776,0.246780,0.250210,0.249110,0.251788,0.257044,0.252021,0.250673,0.249112,0.248591,0.245281,0.242341,0.247155,0.247454
sequential_two_lattice,stream,1,0.302722,0.258099,0.256351,0.258669,0.247123,0.269637,0.246951,0.248436,0.246458,0.248893,0.248337,0.261131,0.249195,0.251789,0.252522,0.246721,0.262087,0.251298,0.245970,0.249463
sequential_two_lattice,bundle,1,0.322649,0.272861,0.275561,0.247695,0.246084,0.248897,0.246773,0.244541,0.248596,0.246922,0.285225,0.249901,0.247500,0.249013,0.254295,0.251252,0.251612,0.246097,0.243557,0.246729
sequential_two_step,collision,1,0.260203,0.253899,0.255670,0.242271,0.245930,0.242042,0.246316,0.258454,0.247870,0.240182,0.246624,0.240791,0.243873,0.242616,0.252264,0.242204,0.240319,0.240507,0.242480,0.236462
sequential_two_step,stream,1,0.360566,0.248568,0.265500,0.264996,0.240068,0.254455,0.240218,0.241047,0.256708,0.238679,0.260651,0.241765,0.242489,0.238096,0.239849,0.246089,0.244881,0.247152,0.246914,0.239109
sequential_two_step,bundle,1,0.264523,0.263225,0.248382,0.247744,0.240551,0.239412,0.262777,0.240326,0.249285,0.239246,0.241985,0.245284,0.256657,0.242607,0.240202,0.254669,0.244795,0.241745,0.242454,0.239665
sequential_swap,collision,1,0.275843,0.275504,0.265800,0.248875,0.256369,0.252274,0.248088,0.248480,0.250074,0.253164,0.249222,0.247077,0.247622,0.253359,0.251364,0.248638,0.260380,0.250020,0.247807,0.253796
sequential_swap,stream,1,0.263450,0.253614,0.270194,0.256932,0.265737,0.250320,0.248767,0.253927,0.250275,0.247559,0.251758,0.246956,0.252091,0.254699,0.250967,0.254603,0.252049,0.247638,0.250159,0.288085
sequential_swap,bundle,1,0.272450,0.292869,0.269152,0.252908,0.252841,0.247841,0.255969,0.253735,0.246755,0.248555,0.257946,0.256084,0.245445,0.253198,0.262995,0.253803,0.251217,0.245448,0.249200,0.246838
sequential_shift,collision,1,0.266978,0.264047,0.260905,0.249119,0.250607,0.249275,0.246956,0.248934,0.247716,0.247762,0.250790,0.247776,0.249959,0.248180,0.253459,0.246788,0.245688,0.248482,0.248629,0.241196
sequential_shift,stream,1,0.269785,0.262819,0.271676,0.250971,0.252594,0.246418,0.250423,0.248998,0.248371,0.308946,0.248250,0.248501,0.255204,0.251340,0.252373,0.248101,0.252002,0.253657,0.261728,0.254280
sequential_shift,bundle,1,0.270841,0.265699,0.264836,0.246624,0.249616,0.250552,0.247329,0.247182,0.247765,0.254766,0.253050,0.249457,0.243465,0.246152,0.244603,0.254100,0.245585,0.249841,0.248048,0.251316
parallel_two_lattice,collision,2,0.143511,0.140792,0.142964,0.141057,0.143736,0.141282,0.153038,0.142151,0.142842,0.140873,0.145341,0.140815,0.143374,0.143756,0.140158,0.143544,0.140697,0.140000,0.144974,0.144524
parallel_two_lattice,collision,4,0.093239,0.095233,0.094722,0.092154,0.097297,0.096443,0.098483,0.092195,0.100610,0.097369,0.093125,0.096241,0.094285,0.095688,0.095659,0.095867,0.095036,0.093697,0.096241,0.095002
parallel_two_lattice,stream,2,0.143251,0.142234,0.145024,0.142506,0.146093,0.142374,0.142370,0.140764,0.153734,0.145241,0.145275,0.139624,0.146545,0.142026,0.142354,0.143345,0.145852,0.144475,0.143949,0.145698
